title,author,year,description,genre,publisher
The Great Gatsby,F. Scott Fitzgerald,1925,"A novel about the American Dream set in the Jazz Age, following the mysterious millionaire Jay Gatsby and his obsession with the beautiful Daisy Buchanan.",Fiction,Scribner
To Kill a Mockingbird,Harper Lee,1960,"The story of young Scout Finch and her father Atticus, a lawyer who defends a Black man accused of raping a white woman in the racially charged South.",Fiction,HarperCollins
Dune,Frank Herbert,1965,"Set on the desert planet Arrakis, Dune tells the story of Paul Atreides as he leads nomadic tribes in a battle for control of the planet's most valuable resource, melange.",Science Fiction,Ace Books
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,"The comedic adventures of Arthur Dent, who is whisked off Earth moments before it is destroyed to make way for a hyperspace bypass.",Science Fiction,Pan Books
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,"A survey of the history of humankind from the evolution of archaic human species in the Stone Age up to the twenty-first century.",Non-Fiction,Harper
Project Hail Mary,Andy Weir,2021,"An astronaut wakes up alone on a spacecraft with no memory of who he is or his mission, discovering he must save Earth from an extinction-level threat.",Science Fiction,Ballantine Books
Klara and the Sun,Kazuo Ishiguro,2021,"The story of Klara, an Artificial Friend with outstanding observational qualities, who watches customers come and go, hoping someone will choose her.",Science Fiction,Knopf
The Silent Patient,Alex Michaelides,2019,"A psychological thriller about a woman who shoots her husband and then stops speaking, and the criminal psychotherapist determined to get her to talk.",Thriller,Celadon Books
Educated,Tara Westover,2018,"A memoir about a young girl who leaves her survivalist family and goes on to earn a PhD from Cambridge University, despite never attending school.",Biography,Random House
Where the Crawdads Sing,Delia Owens,2018,"A coming-of-age story about a young woman raised in the marshes of North Carolina who becomes a suspect in the murder of a local celebrity.",Fiction,G.P. Putnam's Sons
The Overstory,Richard Powers,2018,"A novel about nine Americans whose experiences with trees bring them together to address the destruction of forests, exploring themes of environmentalism.",Fiction,W. W. Norton
The Thursday Murder Club,Richard Osman,2020,"Four friends in a retirement village meet weekly to solve cold cases, until a local developer is found dead and they find themselves in the middle of a live case.",Mystery,Viking Press
Circe,Madeline Miller,2018,"A retelling of Greek mythology focused on the goddess Circe, who transforms from an awkward nymph to a formidable witch, challenging the gods themselves.",Fantasy,Little Brown and Company
Atomic Habits,James Clear,2018,"A practical guide about how tiny changes can lead to remarkable results, showing how to form good habits and break bad ones.",Self-Help,Avery
The Lincoln Highway,Amor Towles,2021,"In 1954, eighteen-year-old Emmett Watson is driven home by the warden of the juvenile work farm where he has served fifteen months for involuntary manslaughter.",Historical Fiction,Viking
Artificial Intelligence: A Guide for Thinking Humans,Melanie Mitchell,2019,"An accessible, comprehensive overview of modern AI, its capabilities, limitations, and the challenging questions it raises for our future.",Science,Farrar Straus and Giroux
The Martian,Andy Weir,2011,"An astronaut becomes stranded on Mars and must use his scientific ingenuity to survive until a rescue mission can be mounted.",Science Fiction,Crown Publishing Group
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,2017,"An exploration of AI's potential impact on the future of life on Earth and beyond, discussing both opportunities and risks.",Science,Knopf
Gone Girl,Gillian Flynn,2012,"A thriller about a woman who disappears on her fifth wedding anniversary, with her husband becoming the prime suspect.",Thriller,Crown Publishing Group
The Power of Habit,Charles Duhigg,2012,"An exploration of how habits work and how they can be changed, drawing on numerous case studies from science, medicine, business, and personal improvement.",Self-Help,Random House
